RA,Dec,PmrA,PMDEC,sigPMRA,sigPMDEC,w1mpro_pm,w1sigmpro_pm,w2mpro_pm,w2sigmpro_pm,2MASSRA,2MASSDEC,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,
4.0250547,-78.3185661,0.12179,-0.04268,0.008,0.0069,14.409,0.015,14.237,0.014,4.023033,-78.318428,15.306,0.0478,14.773,0.0695,14.643,0.1102,
7.0442048,52.3143438,0.11495,-0.46473,0.049,0.0483,17.988,0.102,15.625,0.04,,,,,,,,,
6.1649609,52.9465369,0.55196,-0.2411,0.0984,0.0984,19.452,0.43,16.249,0.068,,,,,,,,,
6.8643414,-1.3505007,0.40645,0.04329,0.0457,0.046,18.201,0.149,15.215,0.036,,,,,,,,,
8.0438558,-2.8997978,0.66546,0.11849,0.0171,0.0173,15.169,0.03,15.091,0.054,8.040873,-2.900569,15.635,0.0503,15.38,0.0911,15.166,0.1467,
6.9592332,-6.4898653,0.41025,-1.32933,0.0032,0.0032,8.92,0.01,8.842,0.007,,,,,,,,,
6.8435165,1.0740503,0.22773,-0.03655,0.0042,0.0037,8.507,0.012,8.351,0.009,6.842657,1.074072,9.519,0.0288,8.979,0.0302,8.692,0.0244,
6.9037612,5.6997269,0.29293,-0.27465,0.01,0.0102,14.488,0.015,14.559,0.021,6.902691,5.700849,14.971,0.0418,14.668,0.0479,14.569,0.068,
7.9830694,-10.7189279,0.00879,-1.02338,0.0361,0.0379,15.654,0.031,15.354,0.046,,,,,,,,,
6.8635999,-54.8075003,0.08951,0.02262,0.0079,0.0075,14.241,0.013,14.078,0.014,6.863137,-54.807652,15.199,0.0428,14.679,0.0659,14.654,0.0991,
,,,,,,,,,,,,,,,,,,
8.2083524,-12.3435866,1.04053,-0.70654,0.0125,0.0119,13.97,0.015,13.825,0.015,,,,,,,,,
7.0882231,-11.5189144,-0.03536,-0.1245,0.0113,0.011,14.581,0.018,14.261,0.021,7.08843,-11.518461,16.901,0.1573,16.158,0.2094,15.176,0.1474,
8.389256,12.7944605,0.5379,-0.05251,0.0032,0.0028,9.316,0.013,9.16,0.007,8.387123,12.794616,10.213,0.0274,9.686,0.0364,9.378,0.022,
8.3197833,13.2893985,0.10359,-0.18352,0.0103,0.0096,14.544,0.014,14.29,0.019,8.319477,13.290093,15.575,0.0837,15.024,0.1121,14.791,0.1138,
7.3680035,-14.8977805,0.41035,-0.44307,0.0437,0.0433,16.448,0.035,16.307,0.089,,,,,,,,,
8.5432868,-16.1623234,-0.32077,-0.6205,0.0146,0.0133,13.889,0.028,13.709,0.029,8.544569,-16.160007,14.56,0.0315,14.117,0.0491,13.801,0.0502,
7.6518093,-20.9715872,0.07684,-0.07191,0.0285,0.0259,15.873,0.024,15.67,0.048,,,,,,,,,
9.0634367,-41.9582345,0.91277,-0.36397,0.041,0.0381,16.25,0.035,16.197,0.073,,,,,,,,,
7.2911879,19.0875556,0.0035,-0.31137,0.0495,0.049,17.61,0.085,15.369,0.04,,,,,,,,,
