,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err,RA,Dec,PmrA,PMDEC,sigPMRA,sigPMDEC,w1mpro_pm,w1sigmpro_pm,w2mpro_pm,w2sigmpro_pm
50,1.5195036,-19.0978112,7.4842019,1.5175285,-19.0987271,19.065447,0.107548,-999999500.0,-999999500.0,17.80943,0.177155,1.5196155,-19.0978112,0.38069000000000003,-0.07693,0.0385,0.0394,17.081,0.06,15.107000000000001,0.036000000000000004
51,1.0634337,-21.6188116,0.26927929999999994,1.0634259,-21.618886,17.776554,0.050741,-999999500.0,-999999500.0,-999999500.0,-999999500.0,1.0633823999999998,-21.6188116,-0.17154,-0.25882,0.054000000000000006,0.0517,17.76,0.11,15.487,0.043
51,1.0634337,-21.6188116,8.8809433,1.0660022,-21.6181921,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,1.0633823999999998,-21.6188116,-0.17154,-0.25882,0.054000000000000006,0.0517,17.76,0.11,15.487,0.043
51,1.0634337,-21.6188116,0.4873501,1.0633548000000002,-21.6189254,17.75429,0.043191,-999999500.0,-999999500.0,-999999500.0,-999999500.0,1.0633823999999998,-21.6188116,-0.17154,-0.25882,0.054000000000000006,0.0517,17.76,0.11,15.487,0.043
51,1.0634337,-21.6188116,8.107178999999999,1.0620741000000002,-21.6206755,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,1.0633823999999998,-21.6188116,-0.17154,-0.25882,0.054000000000000006,0.0517,17.76,0.11,15.487,0.043
52,1.7752233,-23.3334297,0.37579070000000003,1.7753366999999998,-23.3334369,16.361095000000002,0.009544,-999999500.0,-999999500.0,15.538132000000001,0.019423,1.7752636999999998,-23.3334297,0.13348,-0.00131,0.0173,0.0155,15.300999999999998,0.019,15.181,0.033
52,1.7752233,-23.3334297,1.1557194,1.7752961,-23.3337437,18.946194000000002,0.08729400000000001,-999999500.0,-999999500.0,17.222294,0.111608,1.7752636999999998,-23.3334297,0.13348,-0.00131,0.0173,0.0155,15.300999999999998,0.019,15.181,0.033
53,2.1861155,-26.7498411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1861532,-26.7498411,0.12107000000000001,-0.053810000000000004,0.01,0.0088,14.26,0.013999999999999999,14.087,0.016
54,2.5275637000000004,-31.7412683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5276228,-31.7412683,0.1809,-0.0007,0.013000000000000001,0.0117,14.88,0.017,14.655999999999999,0.022000000000000002
55,1.853519,-31.479305800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8536099999999998,-31.4793058,0.27939,-0.3085,0.0172,0.0164,15.37,0.02,15.245999999999999,0.035
