upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err,RA,Dec,PmrA,PMDEC,sigPMRA,sigPMDEC,w1mpro_pm,w1sigmpro_pm,w2mpro_pm,w2sigmpro_pm
2885,156.6343506,-40.3575884,0.5960115,156.63455459999997,-40.3575314,16.407705,0.013496,-999999500.0,-999999500.0,15.640092999999998,0.02839,156.63426919999995,-40.3575884,-0.22337,0.0005200000000000001,0.0159,0.0187,15.423,0.048,15.08,0.055
2886,155.7526709,9.1734287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.7524847,9.1734287,-0.66183,-0.54971,0.013,0.0146,14.595,0.018000000000000002,14.312,0.02
2887,156.7192062,8.524833500000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.7190889,8.524833500000002,-0.41771,-1.03417,0.0223,0.028,14.622,0.038,16.562,0.376
2888,156.445316,15.1906005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.44526230000002,15.1906005,-0.18645,0.02321,0.0164,0.0179,15.304,0.02,15.003,0.032
2889,157.4965967,-36.0111899,0.5116371,157.4967104,-36.01129829999999,16.412737,0.012512,-999999500.0,-999999500.0,15.392897,0.027448,157.4965322,-36.0111899,-0.1877,0.13448,0.0123,0.0145,15.015,0.016,14.798,0.023
2890,155.7537599,36.5116966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.7537488,36.5116966,-0.03212,-0.13365,0.0102,0.0117,14.709,0.016,14.693,0.022
2891,159.3191735,-75.04937199999998,0.7869364000000001,159.3185517,-75.0495205,16.948671,0.020394,-999999500.0,-999999500.0,15.967214000000002,0.041194,159.3189651,-75.04937199999999,-0.19359,0.02816,0.0115,0.0119,15.118,0.063,14.884,0.056
2892,156.7928923,19.5438575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.79284840000003,19.5438575,-0.14891,-0.07706,0.0119,0.0137,14.924,0.017,14.644,0.024
2893,157.5741058,10.5403974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.5740707,10.5403974,-0.12418,-0.05294,0.0103,0.0116,14.614,0.015,14.482,0.021
2894,156.4115042,-47.0636304,1.4796365,156.41207250000005,-47.0637684,15.02846,0.0059960000000000005,-999999500.0,-999999500.0,14.384656,0.009736,156.4113246,-47.0636304,-0.44039,0.11624,0.0066,0.0062,14.167,0.017,14.018,0.031
2895,157.297055,18.8981503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.2970627,18.8981503,0.02634,-0.09366,0.0082,0.0091,14.222,0.015,14.079,0.016
